cluster_num,top_title,description,link
27,"애즈원, ‘LED디스플레이 장애 자동복구’ 관련 기술 미국 특허 취득해 K-Display 선두주자로 자리매김!","LED 디스플레이 전문기업 주식회사 애즈원(이하 애즈원)은 LED 디스플레이 장애 자동복구 기술로 US12,046,171 B2 ELECTRONIC DISPLAY BOARD SYSTEM WITH MODIFIED ETHERNET NETWORK FOR A PLURALITY OF DISPLAY UNITS 미국 특허를 취득했다고 밝혔다. 애즈원은 2020년 한국에서 출원하여 등록한 특허 제10-2095164호 ‘복수의...",http://www.globalepic.co.kr/view.php?ud=20240813114350228448439a4874_29
28,"알디콤, 숙취해소제 신제품 '알디콤V' 론칭 기념 이벤트 전개","독자적인 숙취 해소 특허 성분 'A-HAT'에 옥수수수염·호박·둥굴레 등 자연 유래 성분들을 조합한 V솔루션을 추가하였다. 당 함량도 기존 제품 대비 33%나 낮아져 언제나 부담 없이 섭취할 수 있는 건강함을 더했다.""라고 전했다. 아울러 ""출시를 기념해 마련된 '알디콤V 오픈런 이벤트'는 신제품 '알디콤V'를 가장...",http://www.sisunnews.co.kr/news/articleView.html?idxno=213983
29,휴미라 특허 끝나도 애브비는 멀쩡…복제약 출시 막으며 대체 신약 내놓아,아달리무맙)’의 특허 기간이 끝나면서 복제약(바이오시밀러)들이 쏟아졌다. 그럼에도 오리지널약을 보유한 미국 제약사 애브비는 의약품 시장에서... 특허 만료된 약을 이어 대형 신약을 잇따라 출시한 덕분이다. 애브비는 휴미라를 이어 차세대 자가면역질환 치료제 ‘스카이리치(리산키주맙)’로 큰...,https://biz.chosun.com/science-chosun/bio/2024/08/06/4ETQKVE35BGKDHIRW55IHNBLJY/?utm_source=naver&utm_medium=original&utm_campaign=biz
30,"해양생물자원관, 유용 물질 생산 미세조류 배양방법 특허출원 완료","국립해양생물자원관(관장 최완현)은 천연색소, 오메가 지방산 및 필수아미노산 등의 유용물질을 생산하는 '테트라데스무스 오블리쿠스(Tetradesmus obliquus)' 미세조류 균주와 이를 대량 생산할 수 있는 최적 배양 방법을 개발해 특허 출원을 완료했다고 6일 밝혔다. 바이오실용화실(실장 황현주 박사) 조기철...",https://www.newsis.com/view/NISX20240806_0002839438
89,"앱클론, CAR-T 지퍼스위치 기술 中특허 취득",컨슈머타임스=전은정 기자 | 앱클론은 고형암 키메릭 항원 수용체 T(CAR-T)세포 치료제에 사용되는 지퍼스위치 기술에 대해 중국 특허를 취득했다고 6일 밝혔다. 이번에 특허를 취득한 지퍼스위치 기술은 앱클론의 자체 개발 어피바디를 활용했다. CAR-T세포 치료제를 포함해 항체 기반 치료제에도 적용이...,https://www.cstimes.com/news/articleView.html?idxno=604916
93,증강현실 운전·폴더플 힌지…삼성전자 특허로 본 신기술 동향,"식별 특허를 출원했다. 운전자가 차량 내 블랙박스 영상 재생, 스마트폰 애플리케이션 등으로 확인하는 것보다 더 빨리 장애물을 인식하도록 돕는 기능이다. #삼성전자는 최근 폴더블 폰을 넘어 '폴더블 전자 장치'에 두루 적용하는 힌지(접히는 부분) 관련 특허를 냈다. 힌지 조립체와 연성 회로 기판...",https://view.asiae.co.kr/article/2024080907503895585
94,"고해상도 CCTV 개발…볼트크리에이션, 국책과제 선정","볼트크리에이션은 다년간 관련 기술과 장비에 대한 특허를 획득하고, 양산시설 등을 구축해 왔다. 또 국내·외 자동차 제조업체 및 유통업체들과도 비밀유지계약(NDA), 합의각서(MOA)를 맺어 글로벌 판매 협력 기반을 구축했다. 볼트크리에이션은 이번 사업을 위해 해외 합작법인인 주식회사 카우티오(CAUTIO)...",https://www.newsis.com/view/NISX20240731_0002832786
95,"IND 문턱 넘은 휴온스랩, 재조합 히알루로니다 기술 '하이디퓨즈' 글로벌 특허 신청",미국·유럽·호주 등 특허 확보 목표 라이선싱 아웃 사업 기반 마련 휴온스글로벌 자회사 휴온스랩이 재조합 인간 히알루로니다제 기술 '하이디퓨즈'의 글로벌 사업 기반 조성에 본격 나선다. 국제 특허 출원을 통해 하이드퓨즈 라이선스 아웃(기술수출) 사업의 보호막을 구축하겠다는 전략이다....,https://www.theguru.co.kr/news/article.html?no=75801
108,"펩트론, 주가 급등…코로나 재확산에 '주사형 치료제' 특허 출원 부각",지난달 23일 코로나19 백신 ‘AdCLD-CoV19-1 OMI’에 적용된 독자적 아데노바이러스 벡터 플랫폼 기술에 대한 미국과 러시아 특허 등록이 결정됐다는... 현대바이오는 ‘인체에 무해한 무기물과 고분자를 이용한 약물전달체 특허기술’로 니클로사마이드의 60여년 동안의 난제를 극복해 경구용 코로나19...,http://www.thebigdata.co.kr/view.php?ud=202408090519562641cd1e7f0bdf_23
112,[단독] 日 빅3 편의점 '로손' 韓특허청에 상표출원…재상륙하나,"1일 유통업계에 따르면 일본의 '가부시키가이샤(주식회사) 로손'은 지난달 대한민국 특허청에 '로손'이라는 상호를 출원했다. 현재 상표를 등록받기 위해 심사를 기다리고 있는 중이다. 편의점 로손은 과거 국내에 진출한 바 있다. 1989년 태인유통(현 SPC그룹)이 로손을 운영했으며, 이후 코오롱에 넘어갔다가...",https://www.newsis.com/view/NISX20240801_0002834649
115,"니어솔루션, 최적화 기술 접목 특허 2건 잇따라 출원",지능형 물류 솔루션 기업 니어솔루션(대표 정영교)이 이커머스 및 풀필먼트 센터 운영에 특화된 최적화 기술 특허 2건을 출원했다고 5일 밝혔다. 먼저 '주문 처리비 절감을 위한 실시간 최적 박스 추천 방법 및 시스템' 관련 특허는 포장 최적화로 탄소 배출과 포장 비용을 절감하는 기술이다. 제품의 체적과...,http://news.mt.co.kr/mtview.php?no=2024080511415571151
122,손가락의 안정적인 배열을 보장하는 재활 장갑 특허,"디아앤코(주)는 9일 '손가락의 안정적인 배열을 보장하는 재활 장갑(Rehabilitation gloves that ensure stable finger alignment)'을 특허출원했다고 밝혔다. 기존의... 이 같은 특허 재활장갑 개발에는 장애인들을 위한 종합적인 건강서비스를 제공해 그들의 건강한 자립을 돕고, 전국민의 건강에 기여하겠다는 목표를 지난...",https://www.goodmorningcc.com/news/articleView.html?idxno=402588
124,"군포시, 관내 기업 특허·인증 등 지적재산권 강화 지원","지원 내용으로는 국내·외 제품인증, 특허권, 실용신안권, 디자인권, 상표권 등의 접수비, 시험비, 대행 수수료 등의 비용을 업체당 최대 300만원 이내 직접 지원한다. 진흥원 관계자는 ""이번 지원사업을 통해 관내 중소벤처기업의 인증 및 지식재산권 획득으로 기업보유 핵심기술의 권리를 강화 하겠다""고 말했다....",https://www.kmaeil.com/news/articleView.html?idxno=467006
132,"노브메타파마, '아릴에텐 화합물 제조법' 특허 취득",노브메타파마가 '아릴에텐 화합물의 제조방법(출원번호 제1020210161115호)' 특허를 취득했다고 7일 공시했다. 이 기술은 노브메타파마가 물질특허를 보유하고 있는 DN434를 간단한 공정으로 고순도·고수율의 아릴에텐 화합물로 제조하는 방법이다. 앞으로 DN434 관련 치료제 개발에 활용될 예정이다.,https://www.bloter.net/news/articleView.html?idxno=620894
